_id,name,email,role,department,designation,createdAt,__v
670627fde88879333ce6f7d3,Robert Baker,aaron63@example.com,employee,IT,Senior IT Engineer,2024-08-09,0
670627fde88879333ce6f7d4,Matthew Ramirez,williamprice@example.net,admin,Engineering,Senior Engineering Engineer,2024-02-18,1
670627fde88879333ce6f7d5,Jonathan Rasmussen,kimberlythompson@example.com,admin,Engineering,Senior Engineering Engineer,2024-02-22,1
670627fde88879333ce6f7d6,Stacy Lyons,patricia93@example.org,employee,IT,Senior IT Engineer,2024-09-27,0
670627fde88879333ce6f7d7,Sharon Jones,coopernathan@example.com,employee,IT,Junior IT Engineer,2024-07-16,1
670627fde88879333ce6f7d8,Michelle Dixon,murphymichael@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-25,1
670627fde88879333ce6f7d9,Kristopher Baker,butlerbrandon@example.net,admin,Engineering,Senior Engineering Engineer,2024-02-12,0
670627fde88879333ce6f7da,Anthony Collier,wwright@example.net,admin,Engineering,Senior Engineering Engineer,2024-06-23,0
670627fde88879333ce6f7db,Daniel Clark,karen56@example.org,employee,Engineering,Junior Engineering Engineer,2024-07-01,0
670627fde88879333ce6f7dc,Pamela Colon,nicolefarrell@example.net,admin,Engineering,Senior Engineering Engineer,2024-08-26,0
670627fde88879333ce6f7dd,Brandi Martinez,thomassmith@example.net,employee,IT,Junior IT Engineer,2024-08-20,1
670627fde88879333ce6f7de,Angela Miller,lindsey52@example.org,admin,Engineering,Junior Engineering Engineer,2024-02-02,0
670627fde88879333ce6f7df,Jeffrey Tyler,christian99@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-21,0
670627fde88879333ce6f7e0,Michelle Smith,morrismichael@example.com,admin,IT,Junior IT Engineer,2024-05-30,0
670627fde88879333ce6f7e1,Chad Stevenson,patrickhorne@example.com,admin,Engineering,Junior Engineering Engineer,2024-09-23,1
670627fde88879333ce6f7e2,Michael Kelley,gregory34@example.org,admin,IT,Senior IT Engineer,2024-06-10,1
670627fde88879333ce6f7e3,Brian Johnson,ncochran@example.org,employee,Engineering,Senior Engineering Engineer,2024-05-04,0
670627fde88879333ce6f7e4,Janice Smith,vargastimothy@example.org,admin,Engineering,Senior Engineering Engineer,2024-07-31,0
670627fde88879333ce6f7e5,Kathryn Miller,wsmith@example.org,admin,IT,Junior IT Engineer,2024-02-04,1
670627fde88879333ce6f7e6,Kaitlyn Moran,sgreen@example.org,employee,IT,Senior IT Engineer,2024-05-22,1
670627fde88879333ce6f7e7,Francisco Scott,sjohnson@example.com,employee,Engineering,Senior Engineering Engineer,2024-01-30,1
670627fde88879333ce6f7e8,Mr. Kevin Booker,david74@example.net,admin,IT,Senior IT Engineer,2024-08-23,1
670627fde88879333ce6f7e9,Sandy Smith,dawn30@example.com,employee,IT,Senior IT Engineer,2024-10-01,1
670627fde88879333ce6f7ea,Christopher Payne,maria23@example.com,employee,IT,Junior IT Engineer,2024-05-08,0
670627fde88879333ce6f7eb,Mary Hill,juliegray@example.com,employee,Engineering,Senior Engineering Engineer,2024-07-02,0
670627fde88879333ce6f7ec,Craig Reed,christinebernard@example.org,admin,Engineering,Senior Engineering Engineer,2024-02-20,0
670627fde88879333ce6f7ed,Kelly Fitzgerald,ajackson@example.com,admin,Engineering,Senior Engineering Engineer,2024-03-09,1
670627fde88879333ce6f7ee,Lynn Rollins,williamsellen@example.com,employee,IT,Junior IT Engineer,2024-04-08,0
670627fde88879333ce6f7ef,Alan Smith,juliegay@example.org,employee,Engineering,Senior Engineering Engineer,2024-08-03,0
670627fde88879333ce6f7f0,Tiffany Wilson,melanielewis@example.net,employee,IT,Junior IT Engineer,2024-05-10,1
670627fde88879333ce6f7f1,Jason Jones,smithrodney@example.org,admin,Engineering,Senior Engineering Engineer,2024-03-19,1
670627fde88879333ce6f7f2,Marvin Sanders,cmiller@example.org,employee,Engineering,Junior Engineering Engineer,2024-05-16,0
670627fde88879333ce6f7f3,Kenneth Anderson,stevenrose@example.com,admin,IT,Junior IT Engineer,2024-08-28,0
670627fde88879333ce6f7f4,Kenneth Walker,luis96@example.org,employee,IT,Junior IT Engineer,2024-02-24,0
670627fde88879333ce6f7f5,Mary Santana,hwright@example.com,admin,Engineering,Senior Engineering Engineer,2024-05-02,1
670627fde88879333ce6f7f6,Jacob Bell,aaguirre@example.com,employee,Engineering,Junior Engineering Engineer,2024-06-22,1
670627fde88879333ce6f7f7,Mary Richardson,amandabean@example.com,admin,IT,Senior IT Engineer,2024-03-29,1
670627fde88879333ce6f7f8,Michael Spears,qlogan@example.net,employee,Engineering,Junior Engineering Engineer,2024-05-06,0
670627fde88879333ce6f7f9,Raymond Powell,laurenjohnson@example.net,admin,Engineering,Senior Engineering Engineer,2024-01-03,0
670627fde88879333ce6f7fa,Carrie Gomez MD,uroberts@example.net,employee,IT,Senior IT Engineer,2024-08-06,1
670627fde88879333ce6f7fb,Jennifer Harris,ericbrooks@example.com,employee,IT,Senior IT Engineer,2024-03-21,0
670627fde88879333ce6f7fc,Tiffany Strong,nortonerik@example.com,admin,IT,Junior IT Engineer,2024-01-09,0
670627fde88879333ce6f7fd,Richard Bates,yvonnebell@example.net,admin,Engineering,Junior Engineering Engineer,2024-05-06,0
670627fde88879333ce6f7fe,David Farley,lortega@example.com,admin,Engineering,Senior Engineering Engineer,2024-06-29,0
670627fde88879333ce6f7ff,William Fuller,denisehill@example.com,admin,Engineering,Junior Engineering Engineer,2024-01-23,1
670627fde88879333ce6f800,Mr. Richard Murphy DDS,sellerssarah@example.net,employee,Engineering,Senior Engineering Engineer,2024-07-07,1
670627fde88879333ce6f801,Shane Adams,deborah54@example.org,employee,Engineering,Junior Engineering Engineer,2024-07-02,0
670627fde88879333ce6f802,Shelly Ferrell,leslie47@example.com,admin,Engineering,Senior Engineering Engineer,2024-08-14,0
670627fde88879333ce6f803,Megan Garrett,williamharris@example.net,employee,IT,Senior IT Engineer,2024-03-06,0
670627fde88879333ce6f804,Pamela Jones MD,vmcclain@example.com,employee,Engineering,Senior Engineering Engineer,2024-01-21,0
670627fde88879333ce6f805,Meghan Barr,pramirez@example.com,admin,IT,Senior IT Engineer,2024-04-21,0
670627fde88879333ce6f806,Blake Barr,johnhernandez@example.com,admin,IT,Junior IT Engineer,2024-07-04,0
670627fde88879333ce6f807,Elizabeth Lowery,hvalentine@example.net,admin,IT,Junior IT Engineer,2024-08-03,1
670627fde88879333ce6f808,Adriana Edwards,goldenmelissa@example.org,admin,IT,Senior IT Engineer,2024-05-02,0
670627fde88879333ce6f809,Paul King,kyleholt@example.org,admin,Engineering,Junior Engineering Engineer,2024-04-02,1
670627fde88879333ce6f80a,Dennis Smith,richardray@example.net,employee,IT,Junior IT Engineer,2024-07-31,1
670627fde88879333ce6f80b,Stephanie Potts,annamorgan@example.com,employee,IT,Senior IT Engineer,2024-01-06,1
670627fde88879333ce6f80c,Mark Shea,tylerrobbins@example.org,employee,IT,Senior IT Engineer,2024-10-02,1
670627fde88879333ce6f80d,Anthony Garcia,mgreen@example.com,employee,IT,Junior IT Engineer,2024-02-20,1
670627fde88879333ce6f80e,Gerald Johnson,nlowe@example.com,employee,Engineering,Senior Engineering Engineer,2024-09-02,0
670627fde88879333ce6f80f,Christopher Hudson,wmccullough@example.com,employee,Engineering,Senior Engineering Engineer,2024-02-07,1
670627fde88879333ce6f810,Anita Black,francisco80@example.net,admin,Engineering,Junior Engineering Engineer,2024-04-17,1
670627fde88879333ce6f811,James Wagner,nsmith@example.com,admin,Engineering,Junior Engineering Engineer,2024-06-01,1
670627fde88879333ce6f812,Annette Mullins,john85@example.com,admin,Engineering,Junior Engineering Engineer,2024-07-30,0
670627fde88879333ce6f813,Alexis Miranda,johnsonwillie@example.org,employee,IT,Senior IT Engineer,2024-09-09,1
670627fde88879333ce6f814,Michelle Weeks,castrocrystal@example.com,employee,IT,Senior IT Engineer,2024-08-24,1
670627fde88879333ce6f815,Jennifer Boyle,karenporter@example.net,admin,Engineering,Senior Engineering Engineer,2024-06-16,0
670627fde88879333ce6f816,Zachary Martinez,stephen44@example.net,employee,IT,Senior IT Engineer,2024-08-15,0
670627fde88879333ce6f817,William Baker,connor56@example.org,admin,IT,Junior IT Engineer,2024-09-05,0
670627fde88879333ce6f818,Tiffany Duncan,brownchristina@example.org,admin,Engineering,Junior Engineering Engineer,2024-07-29,0
670627fde88879333ce6f819,Alexandra Tucker,michael15@example.net,employee,Engineering,Junior Engineering Engineer,2024-07-22,0
670627fde88879333ce6f81a,Scott Hutchinson,michael90@example.com,admin,Engineering,Senior Engineering Engineer,2024-01-17,0
670627fde88879333ce6f81b,Scott Maldonado,bdonaldson@example.org,employee,Engineering,Junior Engineering Engineer,2024-01-31,0
670627fde88879333ce6f81c,Robert Mullins,heidicain@example.org,employee,Engineering,Junior Engineering Engineer,2024-07-03,1
670627fde88879333ce6f81d,Jerry Sosa,wthomas@example.net,employee,IT,Junior IT Engineer,2024-04-15,0
670627fde88879333ce6f81e,Mr. Justin Jones,sean57@example.net,admin,Engineering,Senior Engineering Engineer,2024-08-31,0
670627fde88879333ce6f81f,Melissa Hunter,sanchezeric@example.com,employee,Engineering,Senior Engineering Engineer,2024-03-09,0
670627fde88879333ce6f820,Steven Moran,olsonsteven@example.net,employee,IT,Junior IT Engineer,2024-04-21,0
670627fde88879333ce6f821,Jeffrey Garcia,erikahaley@example.com,admin,IT,Junior IT Engineer,2024-05-07,1
670627fde88879333ce6f822,Lisa Smith,crichmond@example.org,employee,IT,Junior IT Engineer,2024-02-21,0
670627fde88879333ce6f823,Matthew Smith,alicia69@example.com,admin,Engineering,Junior Engineering Engineer,2024-03-07,0
670627fde88879333ce6f824,Pamela Brown,michele06@example.com,employee,Engineering,Junior Engineering Engineer,2024-08-01,1
670627fde88879333ce6f825,Mitchell Kennedy,eduncan@example.com,employee,Engineering,Junior Engineering Engineer,2024-02-20,1
670627fde88879333ce6f826,Michael Walsh,tchandler@example.com,employee,Engineering,Junior Engineering Engineer,2024-02-17,0
670627fde88879333ce6f827,Melanie Sanchez,kristin75@example.org,employee,Engineering,Senior Engineering Engineer,2024-06-29,1
670627fde88879333ce6f828,Anna Burke,sarahhester@example.net,employee,IT,Senior IT Engineer,2024-05-23,1
670627fde88879333ce6f829,Kenneth Fox,katrinaburns@example.net,admin,Engineering,Senior Engineering Engineer,2024-08-28,1
670627fde88879333ce6f82a,Kathryn Johnson,deannayoung@example.org,admin,IT,Senior IT Engineer,2024-02-22,1
670627fde88879333ce6f82b,Pamela Macdonald,thomaskatrina@example.org,admin,Engineering,Senior Engineering Engineer,2024-09-08,0
670627fde88879333ce6f82c,Ronald Garcia,romanchristine@example.com,admin,IT,Senior IT Engineer,2024-01-02,0
670627fde88879333ce6f82d,Mr. Todd Chapman,stewartdonald@example.org,employee,Engineering,Senior Engineering Engineer,2024-06-13,1
670627fde88879333ce6f82e,David Webb,brian79@example.com,admin,IT,Senior IT Engineer,2024-06-23,1
670627fde88879333ce6f82f,John Williams,youngwayne@example.net,employee,Engineering,Junior Engineering Engineer,2024-01-25,1
670627fde88879333ce6f830,Brianna Bowers,ohenry@example.com,employee,IT,Junior IT Engineer,2024-07-23,1
670627fde88879333ce6f831,Rebecca Lang,joannjohnson@example.org,employee,IT,Junior IT Engineer,2024-02-12,0
670627fde88879333ce6f832,Jon Jones,john89@example.net,employee,Engineering,Junior Engineering Engineer,2024-02-21,0
670627fde88879333ce6f833,Anthony Mills,pammclean@example.org,employee,IT,Junior IT Engineer,2024-02-17,0
670627fde88879333ce6f834,Jennifer Martinez,ajarvis@example.net,admin,Engineering,Junior Engineering Engineer,2024-03-09,0
670627fde88879333ce6f835,Rebecca Mendez,beasleypriscilla@example.com,employee,Engineering,Senior Engineering Engineer,2024-04-30,0
670627fde88879333ce6f836,Justin Jackson,davisjames@example.net,admin,Engineering,Senior Engineering Engineer,2024-07-30,1
670627fde88879333ce6f837,Kathryn Foster,mary45@example.org,admin,Engineering,Junior Engineering Engineer,2024-08-24,0
670627fde88879333ce6f838,Mrs. Rhonda Ray,valerie67@example.com,employee,IT,Junior IT Engineer,2024-05-21,0
670627fde88879333ce6f839,Karen Thomas,xroach@example.com,employee,Engineering,Senior Engineering Engineer,2024-05-16,1
670627fde88879333ce6f83a,Rebecca Collins,davidcunningham@example.com,employee,IT,Senior IT Engineer,2024-07-17,1
670627fde88879333ce6f83b,Paul Hogan,jacobslaurie@example.com,admin,IT,Senior IT Engineer,2024-02-12,0
670627fde88879333ce6f83c,Angela Anderson,jsmith@example.com,employee,Engineering,Junior Engineering Engineer,2024-09-09,0
670627fde88879333ce6f83d,Julie Perez,melissadunlap@example.com,admin,IT,Junior IT Engineer,2024-05-11,1
670627fde88879333ce6f83e,Emily Vance,hardinjennifer@example.com,admin,Engineering,Senior Engineering Engineer,2024-06-21,1
670627fde88879333ce6f83f,Brett Howard,steve18@example.com,admin,IT,Junior IT Engineer,2024-02-27,0
670627fde88879333ce6f840,Jeremy Ford,hesterstephanie@example.com,admin,IT,Junior IT Engineer,2024-09-18,0
670627fde88879333ce6f841,Andrew Gordon,tonya71@example.net,employee,Engineering,Senior Engineering Engineer,2024-10-04,1
670627fde88879333ce6f842,Scott Gates,sperkins@example.net,admin,IT,Senior IT Engineer,2024-04-02,1
670627fde88879333ce6f843,Justin Sosa,robinsonsandra@example.net,admin,IT,Senior IT Engineer,2024-01-22,1
670627fde88879333ce6f844,Ashley Stevens,kristen93@example.com,employee,IT,Senior IT Engineer,2024-04-19,1
670627fde88879333ce6f845,Ralph Garcia,matthewfrederick@example.com,employee,Engineering,Junior Engineering Engineer,2024-08-24,1
670627fde88879333ce6f846,Ashley Doyle,travisconley@example.com,employee,IT,Junior IT Engineer,2024-01-15,0
670627fde88879333ce6f847,Michelle Jimenez,smithnatalie@example.net,employee,Engineering,Junior Engineering Engineer,2024-01-14,0
670627fde88879333ce6f848,Jorge Harmon,gbrown@example.org,admin,Engineering,Senior Engineering Engineer,2024-09-17,1
670627fde88879333ce6f849,Melissa Mcbride,bergcarl@example.com,admin,Engineering,Junior Engineering Engineer,2024-05-07,0
670627fde88879333ce6f84a,Roger Lane,ilyons@example.net,admin,Engineering,Senior Engineering Engineer,2024-06-17,0
670627fde88879333ce6f84b,Brittney Phillips,dwallace@example.com,employee,Engineering,Senior Engineering Engineer,2024-09-22,1
670627fde88879333ce6f84c,Jay Ramirez,williamsmonica@example.org,admin,Engineering,Senior Engineering Engineer,2024-01-24,0
670627fde88879333ce6f84d,Stephen Hill,toddkatherine@example.net,employee,IT,Senior IT Engineer,2024-09-25,0
670627fde88879333ce6f84e,Annette Wheeler,gutierrezjody@example.com,admin,IT,Junior IT Engineer,2024-03-05,0
670627fde88879333ce6f84f,Debra Alexander,michellehill@example.net,employee,Engineering,Senior Engineering Engineer,2024-04-01,1
670627fde88879333ce6f850,Joshua Payne,jessicamiller@example.net,admin,IT,Senior IT Engineer,2024-05-12,1
670627fde88879333ce6f851,Ryan Bean,charleswebb@example.org,employee,IT,Senior IT Engineer,2024-09-25,1
670627fde88879333ce6f852,Kenneth Hughes,kingram@example.net,employee,IT,Senior IT Engineer,2024-02-15,0
670627fde88879333ce6f853,Paul Lin,lchen@example.net,employee,IT,Senior IT Engineer,2024-02-22,1
670627fde88879333ce6f854,Stephen Cox,snyderchristopher@example.org,admin,Engineering,Junior Engineering Engineer,2024-02-23,0
670627fde88879333ce6f855,Lucas Hoover,adamsbrian@example.net,employee,IT,Junior IT Engineer,2024-07-28,1
670627fde88879333ce6f856,Raymond Peterson,donalddowns@example.com,employee,IT,Junior IT Engineer,2024-05-10,1
670627fde88879333ce6f857,Diane Hopkins,asimon@example.net,employee,Engineering,Senior Engineering Engineer,2024-09-24,1
670627fde88879333ce6f858,Jasmine Martinez,tnixon@example.org,employee,IT,Junior IT Engineer,2024-07-10,0
670627fde88879333ce6f859,Robert Mcconnell,danny25@example.com,admin,Engineering,Senior Engineering Engineer,2024-07-20,0
670627fde88879333ce6f85a,Tara Sampson,cfuller@example.com,admin,Engineering,Senior Engineering Engineer,2024-05-08,1
670627fde88879333ce6f85b,Ashley Alexander,nmendoza@example.org,employee,IT,Junior IT Engineer,2024-09-04,1
670627fde88879333ce6f85c,Lauren Mason,hshah@example.org,admin,Engineering,Junior Engineering Engineer,2024-05-04,1
670627fde88879333ce6f85d,Patricia Torres,littlejuan@example.org,admin,IT,Senior IT Engineer,2024-01-25,1
670627fde88879333ce6f85e,Anthony Green,zacharyconway@example.net,admin,Engineering,Senior Engineering Engineer,2024-05-23,0
670627fde88879333ce6f85f,Patricia Harper,amanda93@example.net,employee,IT,Senior IT Engineer,2024-01-26,0
670627fde88879333ce6f860,Misty Burch,austin33@example.org,employee,IT,Senior IT Engineer,2024-04-26,0
670627fde88879333ce6f861,Laura Hernandez,timothy41@example.com,employee,Engineering,Senior Engineering Engineer,2024-03-22,0
670627fde88879333ce6f862,Dr. Chad Zuniga DVM,ahill@example.net,admin,Engineering,Junior Engineering Engineer,2024-04-29,1
670627fde88879333ce6f863,Mr. Shawn Knight Jr.,nathaniel22@example.net,admin,Engineering,Senior Engineering Engineer,2024-04-16,0
670627fde88879333ce6f864,Sandra Grant,david84@example.com,admin,IT,Senior IT Engineer,2024-05-19,1
670627fde88879333ce6f865,Janet Scott,bruceberg@example.com,employee,IT,Junior IT Engineer,2024-04-26,0
670627fde88879333ce6f866,Tony Welch,crystalcoleman@example.org,admin,IT,Junior IT Engineer,2024-06-03,0
670627fde88879333ce6f867,Levi Boyle,ashley25@example.net,employee,Engineering,Junior Engineering Engineer,2024-09-24,0
670627fde88879333ce6f868,Christopher Maldonado,timothyalvarado@example.net,employee,IT,Senior IT Engineer,2024-01-11,1
670627fde88879333ce6f869,Janet Phelps,juliecalderon@example.org,admin,IT,Senior IT Engineer,2024-02-15,1
670627fde88879333ce6f86a,Dr. Jesse Wood,brittanyburns@example.com,employee,Engineering,Junior Engineering Engineer,2024-02-08,0
670627fde88879333ce6f86b,Todd Sparks,jason51@example.org,admin,IT,Junior IT Engineer,2024-08-20,0
670627fde88879333ce6f86c,Timothy Allen,obond@example.net,admin,Engineering,Junior Engineering Engineer,2024-06-11,0
670627fde88879333ce6f86d,Sherry Miller,lesliealvarez@example.com,employee,IT,Junior IT Engineer,2024-02-23,0
670627fde88879333ce6f86e,Nicole Wilson,dixonconnor@example.net,employee,IT,Junior IT Engineer,2024-09-05,0
670627fde88879333ce6f86f,Sarah Brown,phouston@example.net,admin,IT,Junior IT Engineer,2024-08-30,1
670627fde88879333ce6f870,Katherine Williams,marc16@example.org,employee,IT,Junior IT Engineer,2024-01-31,0
670627fde88879333ce6f871,Ashley Paul,megan34@example.org,admin,IT,Junior IT Engineer,2024-07-02,1
670627fde88879333ce6f872,Jeffrey Carey,carol05@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-29,1
670627fde88879333ce6f873,Heather Esparza,ocastaneda@example.com,admin,IT,Senior IT Engineer,2024-03-24,1
670627fde88879333ce6f874,Christina Smith,bowersrhonda@example.net,employee,IT,Senior IT Engineer,2024-05-23,1
670627fde88879333ce6f875,John Rivera,ivan42@example.net,employee,IT,Junior IT Engineer,2024-02-24,0
670627fde88879333ce6f876,Tammy Miller,amberbeck@example.com,admin,Engineering,Senior Engineering Engineer,2024-06-09,0
670627fde88879333ce6f877,Jerry Matthews,thomasbarnes@example.com,employee,IT,Senior IT Engineer,2024-04-02,0
670627fde88879333ce6f878,Michael Bennett,odonnellcourtney@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-26,0
670627fde88879333ce6f879,James Miles,robertdavis@example.org,employee,Engineering,Senior Engineering Engineer,2024-07-21,0
670627fde88879333ce6f87a,Alicia Parks,julia38@example.com,admin,IT,Junior IT Engineer,2024-09-14,1
670627fde88879333ce6f87b,Ashley Riley,bellrachael@example.org,admin,Engineering,Junior Engineering Engineer,2024-03-16,1
670627fde88879333ce6f87c,Derrick Duke,edwardcook@example.com,employee,IT,Junior IT Engineer,2024-04-25,0
670627fde88879333ce6f87d,Douglas Parks,xmann@example.net,employee,Engineering,Senior Engineering Engineer,2024-02-26,1
670627fde88879333ce6f87e,Joshua Anderson,ymassey@example.org,admin,IT,Junior IT Engineer,2024-05-01,0
670627fde88879333ce6f87f,Monica Obrien,dylanlyons@example.org,admin,Engineering,Junior Engineering Engineer,2024-03-26,0
670627fde88879333ce6f880,Jonathan Vargas,cmclaughlin@example.com,admin,IT,Junior IT Engineer,2024-04-09,1
670627fde88879333ce6f881,Michael Duarte,john52@example.org,employee,IT,Junior IT Engineer,2024-09-26,0
670627fde88879333ce6f882,Pamela Robinson,jmclaughlin@example.org,admin,Engineering,Junior Engineering Engineer,2024-08-01,1
670627fde88879333ce6f883,Emily Meza,blackburngregory@example.net,admin,Engineering,Senior Engineering Engineer,2024-09-03,0
670627fde88879333ce6f884,Mindy Cunningham,moorejoshua@example.com,employee,IT,Junior IT Engineer,2024-01-30,1
670627fde88879333ce6f885,Tracy Taylor,amyfoster@example.org,admin,Engineering,Junior Engineering Engineer,2024-09-21,0
670627fde88879333ce6f886,Matthew Leon,marcus89@example.com,employee,Engineering,Junior Engineering Engineer,2024-05-08,1
670627fde88879333ce6f887,Heather Collins,wcombs@example.org,admin,IT,Senior IT Engineer,2024-05-10,1
670627fde88879333ce6f888,Paul Maldonado,atyler@example.com,employee,Engineering,Junior Engineering Engineer,2024-08-31,1
670627fde88879333ce6f889,Evan Smith,ashleyharrison@example.net,employee,IT,Junior IT Engineer,2024-01-16,1
670627fde88879333ce6f88a,Javier Lewis,nicoleshaw@example.com,admin,IT,Junior IT Engineer,2024-04-14,0
670627fde88879333ce6f88b,Diana Flowers,norrisrobert@example.org,employee,Engineering,Junior Engineering Engineer,2024-01-11,0
670627fde88879333ce6f88c,Brittney Rose,deborahroman@example.net,admin,IT,Junior IT Engineer,2024-07-15,0
670627fde88879333ce6f88d,Mariah Perez,richardmeza@example.org,employee,Engineering,Senior Engineering Engineer,2024-04-14,1
670627fde88879333ce6f88e,Kelly Houston,matthew94@example.com,employee,IT,Senior IT Engineer,2024-05-20,0
670627fde88879333ce6f88f,Steven Lindsey,mark74@example.com,admin,IT,Senior IT Engineer,2024-04-07,1
670627fde88879333ce6f890,Judith Burton,petersonmelanie@example.org,admin,IT,Senior IT Engineer,2024-09-22,1
670627fde88879333ce6f891,Jennifer Anderson,smithalexandra@example.com,admin,IT,Senior IT Engineer,2024-06-25,1
670627fde88879333ce6f892,Sierra Gray,nicholas94@example.com,admin,IT,Senior IT Engineer,2024-03-13,1
670627fde88879333ce6f893,Theresa Olson,moorelisa@example.org,admin,Engineering,Junior Engineering Engineer,2024-09-22,1
670627fde88879333ce6f894,Alexander Henson Jr.,tyronethomas@example.org,employee,Engineering,Senior Engineering Engineer,2024-02-12,0
670627fde88879333ce6f895,Emily Alexander,pacejames@example.net,admin,IT,Senior IT Engineer,2024-04-28,0
670627fde88879333ce6f896,Robert Cuevas,david85@example.net,admin,IT,Senior IT Engineer,2024-07-15,0
670627fde88879333ce6f897,William Jackson,adkinsjon@example.com,employee,Engineering,Senior Engineering Engineer,2024-09-25,0
670627fde88879333ce6f898,Diane Wright,michaelsanchez@example.org,admin,Engineering,Senior Engineering Engineer,2024-08-05,0
670627fde88879333ce6f899,Grace Pacheco,melissa36@example.org,admin,Engineering,Junior Engineering Engineer,2024-09-16,1
670627fde88879333ce6f89a,Joseph Marquez,barbara58@example.com,employee,Engineering,Junior Engineering Engineer,2024-01-15,0
670627fde88879333ce6f89b,Barbara Smith,oliviaedwards@example.com,admin,Engineering,Junior Engineering Engineer,2024-07-15,1
670627fde88879333ce6f89c,Hannah Ortega,bmalone@example.com,employee,Engineering,Junior Engineering Engineer,2024-05-06,1
670627fde88879333ce6f89d,Lindsey Douglas,ugriffin@example.net,employee,IT,Junior IT Engineer,2024-04-27,1
670627fde88879333ce6f89e,Tiffany Griffin,brianlynn@example.org,employee,IT,Junior IT Engineer,2024-04-18,1
670627fde88879333ce6f89f,Aaron Saunders,hhanson@example.net,employee,IT,Senior IT Engineer,2024-09-24,0
670627fde88879333ce6f8a0,Nathan Odonnell,joseph10@example.com,employee,Engineering,Senior Engineering Engineer,2024-06-25,0
670627fde88879333ce6f8a1,Robert Larson,taylor07@example.net,employee,Engineering,Junior Engineering Engineer,2024-01-09,0
